run_id,mash_id,run_date,still_used,operator,volume_unit,ferment_og,ferment_fg,wash_abv,wash_volume,foreshots_volume,heads_volume,heads_abv,hearts_volume,hearts_abv,tails_volume,tails_abv,cut_temp_heads,cut_temp_tails,run_duration,barrel_id,barrel_fill_date,entry_proof,char_level,tilt_sheet_url,notes
run_rum_2024_03_11,mash_rum_molasses,03/11/2024,,,gal,1.087,1.008,,40,,,,,,,,,,,,,,,,Initial gravity 1.087. First molasses rum batch; added 1 cup yeast 3/12.
run_rum_2024_09_02,mash_rum_molasses,09/02/2024,,,gal,1.091,,,40,,,,,,,,,,,,,,,,"Added 50 g nutrient, then 75 g yeast (no action), then 1 cup DADY - fermentation started. OG 1.091."
run_rum_2024_10_14,mash_rum_molasses,10/14/2024,,,gal,,,,20,,,,,,,,,,,,,,,,Half batch. Added 25 g nutrient.
run_rum_2024_11_01,mash_rum_molasses,11/01/2024,,,gal,1.11,,,40,,,,,,,,,,,,,,,,"Added 50 g nutrient, 1 cup yeast. OG 1.11."
run_rum_2025_07_12,mash_rum_molasses,07/12/2025,,,gal,1.104,,,40,,,,,,,,,,,,,,,,"5.0 pH at pitch. In big fermenter, 32 C with chiller. Added 50 g nutrient, 1 cup yeast."
run_rum_2026_01_14,mash_rum_molasses,01/14/2026,,,gal,1.1,,,40,,,,,,,,,,,,,,,,"Added 50 g yeast food, 1 cup yeast. OG 1.1."
run_rum_2026_03_02,mash_rum_molasses,03/02/2026,,,gal,,,,40,,,,,,,,,,,,,,,,"Added 50 g yeast food (3/3), 3/4 cup yeast. 28.1 C."
run_agave_2023_08_16,mash_agave_spirit,08/16/2023,,,gal,1.054,0.995,7.74,,,,,,,,,,,,,,,,,Added 1 cup yeast + 3/4 cup nutrient. 8/22 added 1/3 cup yeast + 3 tbsp calcium carbonate (4% alc). 7.74% at finish.
run_agave_2023_11_03,mash_agave_spirit,11/03/2023,,,gal,1.14,0.995,,40,,,,6,40,,,,,,,,,,,"Higher-SG batch: 24 L agave, 38 lb sugar, 40 gal water. Fruit yeast after it slowed. Distilled ~1/4 -> ~6 gal of 40%. OG 1.14 as recorded in sheet."
run_agave_2024_03_12,mash_agave_spirit,03/12/2024,,,gal,1.04,,,40,,,,,,,,,,,,,,,,Added 2 cups yeast + nutrient.
run_agave_2024_07_17,mash_agave_spirit,07/17/2024,,,gal,1.049,,6.17,40,,,,15,40,,,,,,,,,,,"New batch, too much water - added 10 lb sugar + 13 agave nectars. Turbo yeast 8/24. Calcium carbonate added along the way. 6.17% at finish; ~15 gal of 40% (still ~40 gal left to distill)."
run_agave_2025_04_28,mash_agave_spirit,04/28/2025,,,gal,1.07,,9.58,30,,,,,,,,,,,,,,,,"20 kg agave, 20 lb sugar, 30 gal water. Turbo fruit yeast packet, 1/4 cup yeast food. pH 6.4, 75 F. Blended and heated."
run_agave_2026_03_06,mash_agave_spirit,03/06/2026,,,gal,,,,30,,,,,,,,,,,,,,,,"23 kg agave, 20 lb sugar, 30 gal water."
run_rye_2026_01_16,mash_rye_whiskey,01/16/2026,,,gal,1.083,,,40,,,,,,,,,,,,,,,,"Broken heater tank: added corn at 152F, couldn't heat, added malted rye at 140F + hi-temp enzyme, let sit 2 days. OG 1.083. Added 3/4 cup yeast 1/16."
