recipe_id,ingredient_name,amount,unit,is_alcohol,abv_percent
bitters_orange_thielen_style_bitters,Alcohol (93%),500,mL,yes,93
bitters_orange_thielen_style_bitters,"Oranges (peeled, dehydrated)",4,each,no,
bitters_orange_thielen_style_bitters,Allspice,1,tbsp,no,
bitters_orange_thielen_style_bitters,Cloves,1,tbsp,no,
bitters_orange_thielen_style_bitters,Coriander,1,tbsp,no,
bitters_orange_thielen_style_bitters,Cardamom,1,tbsp,no,
cans_fat_golfer,Sweet Tea,7,cups,no,
cans_fat_golfer,Lemonade,5.25,cups,no,
cans_fat_golfer,GNS,164.7,mL,yes,93
cans_mango_collins,Vodka,10,cups,yes,40
cans_mango_collins,Simple Syrup,3.36,cups,no,
cans_mango_collins,Mango Extract,0.48,cups,no,
cans_mango_collins,Lemon Juice,2.24,cups,no,
cans_mango_collins,Water,63.92,cups,no,
cans_grape_popcicle,Cranberry Vodka,11.43,cups,yes,35
cans_grape_popcicle,Simple Syrup,3.36,cups,no,
cans_grape_popcicle,Grape Extract,0.96,cups,no,
cans_grape_popcicle,Lemon Juice,2.24,cups,no,
cans_grape_popcicle,Water,62.01,cups,no,
cans_fresh_kosh,Gin,10,cups,yes,40
cans_fresh_kosh,Grapefruit-Lime Mix,0.96,cups,no,
cans_fresh_kosh,Simple Syrup,3.36,cups,no,
cans_fresh_kosh,Water,65.68,cups,no,
cans_cherry_limeade,Cherry Vodka,11.43,cups,yes,35
cans_cherry_limeade,Simple Syrup,3.36,cups,no,
cans_cherry_limeade,Cherry Extract,0.96,cups,no,
cans_cherry_limeade,Lime Juice,2.24,cups,no,
cans_cherry_limeade,Water,62.01,cups,no,
cans_blackberry_hard_seltzer,Blackberry Vodka,1.3,gal,yes,40
cans_blackberry_hard_seltzer,Lemon Juice,1,cups,no,
cans_blackberry_hard_seltzer,Sugar,1,cups,no,
cans_blackberry_hard_seltzer,Water,8.6,gal,no,
cans_raspberry_lemonade,Raspberry Vodka,1.3,gal,yes,40
cans_raspberry_lemonade,Lemon Juice,10,cups,no,
cans_raspberry_lemonade,Sugar,10,cups,no,
cans_raspberry_lemonade,Water,8.1,gal,no,
cans_nitro_espresso_martini,Ingredients not yet documented in this system,,,no,
cans_blu_vodka_seltzer,Vodka,240,oz,yes,40
cans_blu_vodka_seltzer,Blueberry,36,oz,no,
cans_blu_vodka_seltzer,Lemon,54,oz,no,
cans_blu_vodka_seltzer,Water,1590,oz,no,
cans_blu_vodka_seltzer,Potassium Sorbate,10,tsp,no,
cans_brandy_sour_old_fashioned,Apple Brandy,34.85,cups,yes,40
cans_brandy_sour_old_fashioned,Simple Syrup,9.96,cups,no,
cans_brandy_sour_old_fashioned,Lemon Juice,9.96,cups,no,
cans_brandy_sour_old_fashioned,Lime Juice,4.98,cups,no,
cans_brandy_sour_old_fashioned,OJ,4.98,cups,no,
cans_brandy_sour_old_fashioned,Grenadine,4.98,cups,no,
cans_brandy_sour_old_fashioned,Water,9.69,cups,no,
cans_brandy_sour_old_fashioned,Bitters,0.6,cups,no,
cans_apple_smash_spritz,Apple Brandy,16.0,cups,yes,40
cans_apple_smash_spritz,Apple Pie Liqueur,16.0,cups,no,
cans_apple_smash_spritz,Caramel Syrup,5.33,cups,no,
cans_apple_smash_spritz,Water,42.67,cups,no,
cans_margarita,Osh-Gave Agave Spirit,28.22,cups,yes,40
cans_margarita,Triple Sec,9.41,cups,yes,20
cans_margarita,Lime Juice,9.41,cups,no,
cans_margarita,Lemon Juice,14.11,cups,no,
cans_margarita,Simple Syrup,4.7,cups,no,
cans_margarita,Water,14.15,cups,no,
cans_cold_brew_martini,Cold Brew Vodka,65.0,cups,yes,40
cans_cold_brew_martini,Simple Syrup,15.0,cups,no,
cans_lavender_gin_tonic,Lavender Gin,19.35,cups,yes,40
cans_lavender_gin_tonic,Tonic Syrup,2.58,cups,no,
cans_lavender_gin_tonic,Water,58.07,cups,no,
cans_lemon_seltzer,Vodka,9.99,cups,yes,40
cans_lemon_seltzer,Lemon Juice,3.33,cups,no,
cans_lemon_seltzer,Simple Syrup,1.67,cups,no,
cans_lemon_seltzer,Water,65.01,cups,no,
cans_blueberry_lemon_seltzer,Vodka,9.99,cups,yes,40
cans_blueberry_lemon_seltzer,Lemon Juice,3.33,cups,no,
cans_blueberry_lemon_seltzer,Blueberry Syrup,3.33,cups,no,
cans_blueberry_lemon_seltzer,Water,63.35,cups,no,
distilled_spirit,Ingredients not yet documented in this system,,,no,
agave_osh_gave,Agave Spirits,,,no,
agave_cucumber,Ingredients not yet documented in this system,,,no,
agave_cucumber_jalapeno,Ingredients not yet documented in this system,,,no,
agave_jalapeno,Jalapeno Flavored Agave Spirits,,,no,
agave_raspberry,Ingredients not yet documented in this system,,,no,
agave_habanero_lime,Ingredients not yet documented in this system,,,no,
agave_resposado_aged,Ingredients not yet documented in this system,,,no,
aquavit_aquavit,Vodka,750,mL,yes,40
aquavit_aquavit,Dried Dill,1,tsp,no,
aquavit_aquavit,Star Anise,2,each,no,
aquavit_aquavit,Wild Fennel Pollen,1,tsp,no,
aquavit_aquavit,Celery Seed,0.67,tsp,no,
aquavit_aquavit,Dried Lemon Peel,1,tsp,no,
aquavit_aquavit,Peeled Cucumber Slices,100,g,no,
aquavit_aquavit_swedish,Ingredients not yet documented in this system,,,no,
distilled_spirit_vixen_stout,distilled specialty spirit,,,no,
distilled_spirit_fifth_ward_spirit,Ingredients not yet documented in this system,,,no,
distilled_spirit_rhubarb,Ingredients not yet documented in this system,,,no,
